Tôi hiện đang có các triệu chứng như nghe kém, ù tai và đau tai. Tôi có thể đang bị bệnh gì?
Tôi đang cảm thấy nặng tai, đau tai khi nuốt và có tiền sử viêm tai giữa. Tôi có thể đang bị bệnh gì?
Tôi hay bị ù tai, nghe kém và phải nghe đài, vô tuyến với âm lượng lớn. Tôi có thể đang bị bệnh gì?
Con tôi bị nghe kém, chậm nói và hay nghịch tai. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và có tiền sử viêm mũi xoang. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và có tiền sử viêm amidan. Tôi có thể đang bị bệnh gì?
Con tôi bị nghe kém, học tập kém và có vấn đề về hành vi. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và vừa đi máy bay. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và mắc hội chứng Down. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và có tiền sử viêm VA. Tôi có thể đang bị bệnh gì?
Con tôi bị nghe kém, chậm phát triển ngôn ngữ và hay nghịch tai. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và có tiền sử cảm cúm. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và có khối u ở vòm họng. Tôi có thể đang bị bệnh gì?
Con tôi bị nghe kém, rối loạn đọc và học tập kém. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và màng nhĩ có màu hổ phách. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và màng nhĩ bị co rút. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và màng nhĩ bất động. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và hòm nhĩ có dịch. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và màng nhĩ màu xanh. Tôi có thể đang bị bệnh gì?
Tôi bị ù tai, nghe kém và màng nhĩ có bọt khí. Tôi có thể đang bị bệnh gì?
